date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:21	117232/117232	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:19%20GMT	https://karciz.dexignzone.com/laravel/demo/index	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/index.html	(from )
13:41:21	239/239	---M--	302	error ('Found')	text/html	date:Wed,%2021%20Sep%202022%2010:41:21%20GMT	https://karciz.dexignzone.com/robots.txt		(from )
13:41:21	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:21%20GMT	https://karciz.dexignzone.com/laravel/demo/images/favicon.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/favicon.png	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:22	560/560	---M--	200	added ('OK')	image/png	etag:%22230-5b3fdd6e54240%22	https://karciz.dexignzone.com/laravel/demo/public/images/favicon.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/favicon.png	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:22	315/315	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:22%20GMT	https://karciz.dexignzone.com/laravel/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:23	10717/10717	---M--	200	added ('OK')	text/css	etag:%2229dd-5b3fe5b37c540%22	https://karciz.dexignzone.com/laravel/demo/public/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:25	294/294	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:25%20GMT	https://karciz.dexignzone.com/laravel/demo/vendor/owl-carousel/owl.carousel.css	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/vendor/owl-carousel/owl.carousel.5.delayed	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:25	3504/3504	---M--	200	added ('OK')	text/css	etag:%22db0-5b3fe0df86140%22	https://karciz.dexignzone.com/laravel/demo/public/vendor/owl-carousel/owl.carousel.css	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/vendor/owl-carousel/owl.carousel.css	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:27	22357/22357	---MCZ	200	added ('OK')	text/css	etag:W/%225f0d52a9-5755%22	https://cdn.lineicons.com/2.0/LineIcons.css	C:/Mes%20Sites%20Web/Karciz/cdn.lineicons.com/2.0/LineIcons.css	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:27	271/271	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:27%20GMT	https://karciz.dexignzone.com/laravel/demo/css/style.css	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/css/style.css	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:29	273/273	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:29%20GMT	https://karciz.dexignzone.com/laravel/demo/images/logo.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/logo.a.delayed	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:30	667/667	---M--	200	added ('OK')	image/png	etag:%2229b-5b3fdd6e54240%22	https://karciz.dexignzone.com/laravel/demo/public/images/logo.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/logo.png	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:30	278/278	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:30%20GMT	https://karciz.dexignzone.com/laravel/demo/images/logo-text.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/logo-text.png	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:31	538/538	---M--	200	added ('OK')	image/png	etag:%2221a-5b3fdd6e54240%22	https://karciz.dexignzone.com/laravel/demo/public/images/logo-text.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/logo-text.png	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:31	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:31%20GMT	https://karciz.dexignzone.com/laravel/demo/images/avatar/1.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/avatar/1.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:32	6991/6991	---M--	200	added ('OK')	image/jpeg	etag:%221b4f-5b3fdf00c77c0%22	https://karciz.dexignzone.com/laravel/demo/public/images/avatar/1.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/avatar/1.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:32	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:33%20GMT	https://karciz.dexignzone.com/laravel/demo/images/avatar/2.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/avatar/2.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:33	10188/10188	---M--	200	added ('OK')	image/jpeg	etag:%2227cc-5b3fdf02afc40%22	https://karciz.dexignzone.com/laravel/demo/public/images/avatar/2.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/avatar/2.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:34	1019957/1019957	---M--	200	added ('OK')	text/css	etag:%22f9035-5b3fdd689b4c0%22	https://karciz.dexignzone.com/laravel/demo/public/css/style.css	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/css/style.css	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:37	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:37%20GMT	https://karciz.dexignzone.com/laravel/demo/images/avatar/3.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/avatar/3.12.delayed	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:38	9609/9609	---M--	200	added ('OK')	image/jpeg	etag:%222589-5b3fdf03a3e80%22	https://karciz.dexignzone.com/laravel/demo/public/images/avatar/3.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/avatar/3.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:40	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:40%20GMT	https://karciz.dexignzone.com/laravel/demo/images/avatar/4.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/avatar/4.14.delayed	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:40	8706/8706	---M--	200	added ('OK')	image/jpeg	etag:%222202-5b3fdf04980c0%22	https://karciz.dexignzone.com/laravel/demo/public/images/avatar/4.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/avatar/4.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:41	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:41%20GMT	https://karciz.dexignzone.com/laravel/demo/images/avatar/5.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/avatar/5.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:42	11073/11073	---M--	200	added ('OK')	image/jpeg	etag:%222b41-5b3fdf058c300%22	https://karciz.dexignzone.com/laravel/demo/public/images/avatar/5.jpg	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/avatar/5.jpg	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:42	279/279	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Sep%202022%2010:41:42%20GMT	https://karciz.dexignzone.com/laravel/demo/images/profile/12.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/images/profile/12.png	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:43	24157/24157	---M--	200	added ('OK')	image/png	etag:%225e5d-5b3fe03a89c00%22	https://karciz.dexignzone.com/laravel/demo/public/images/profile/12.png	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/public/images/profile/12.png	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:44	88293/88293	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:43%20GMT	https://karciz.dexignzone.com/laravel/demo/app-profile	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/app-profile.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:46	3788/3788	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:46%20GMT	https://karciz.dexignzone.com/laravel/demo/page-login	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/page-login.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:47	98367/98367	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:44%20GMT	https://karciz.dexignzone.com/laravel/demo/email-inbox	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/email-inbox.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:47	71748/71748	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:46%20GMT	https://karciz.dexignzone.com/laravel/demo/event-list	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/event-list.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:49	89170/89170	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:48%20GMT	https://karciz.dexignzone.com/laravel/demo/page-analytics	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/page-analytics.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:49	78571/78571	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:47%20GMT	https://karciz.dexignzone.com/laravel/demo/page-event	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/page-event.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:50	82400/82400	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:48%20GMT	https://karciz.dexignzone.com/laravel/demo/customers	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/customers.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:51	69378/69378	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:51%20GMT	https://karciz.dexignzone.com/laravel/demo/email-compose	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/email-compose.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:52	74116/74116	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:50%20GMT	https://karciz.dexignzone.com/laravel/demo/page-review	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/page-review.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:53	66922/66922	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:52%20GMT	https://karciz.dexignzone.com/laravel/demo/app-calender	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/app-calender.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:53	73211/73211	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:52%20GMT	https://karciz.dexignzone.com/laravel/demo/ecom-product-grid	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/ecom-product-grid.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:53	72507/72507	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:51%20GMT	https://karciz.dexignzone.com/laravel/demo/email-read	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/email-read.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:54	78642/78642	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:53%20GMT	https://karciz.dexignzone.com/laravel/demo/ecom-product-list	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/ecom-product-list.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:54	68953/68953	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:54%20GMT	https://karciz.dexignzone.com/laravel/demo/ecom-product-detail	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/ecom-product-detail.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:55	76661/76661	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:55%20GMT	https://karciz.dexignzone.com/laravel/demo/ecom-checkout	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/ecom-checkout.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:56	101663/101663	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:54%20GMT	https://karciz.dexignzone.com/laravel/demo/ecom-product-order	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/ecom-product-order.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:56	68427/68427	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:55%20GMT	https://karciz.dexignzone.com/laravel/demo/ecom-invoice	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/ecom-invoice.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:57	115722/115722	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:56%20GMT	https://karciz.dexignzone.com/laravel/demo/ecom-customers	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/ecom-customers.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:57	66230/66230	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:57%20GMT	https://karciz.dexignzone.com/laravel/demo/chart-flot	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/chart-flot.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:58	64346/64346	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:57%20GMT	https://karciz.dexignzone.com/laravel/demo/chart-morris	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/chart-morris.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:58	68579/68579	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:58%20GMT	https://karciz.dexignzone.com/laravel/demo/chart-chartjs	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/chart-chartjs.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:41:59	73998/73998	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:58%20GMT	https://karciz.dexignzone.com/laravel/demo/chart-chartist	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/chart-chartist.html	(from https://karciz.dexignzone.com/laravel/demo/index)
13:42:00	65666/65666	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Sep%202022%2010:41:59%20GMT	https://karciz.dexignzone.com/laravel/demo/chart-sparkline	C:/Mes%20Sites%20Web/Karciz/karciz.dexignzone.com/laravel/demo/chart-sparkline.html	(from https://karciz.dexignzone.com/laravel/demo/index)
